date,Child,Teenager,Adult,Old,total_death
28/6/2020,0,0,0,0,0
29/6/2020,0,0,0,0,0
30/6/2020,0,0,0,0,0
1/7/2020,0,0,0,0,0
2/7/2020,0,0,0,0,0
3/7/2020,0,0,0,0,0
4/7/2020,0,0,0,0,0
5/7/2020,0,0,0,0,0
6/7/2020,0,0,0,0,0
7/7/2020,0,0,0,0,0
8/7/2020,0,0,0,0,0
9/7/2020,0,0,0,0,0
10/7/2020,0,0,0,0,0
11/7/2020,0,0,0,1,1
12/7/2020,0,0,0,0,0
13/7/2020,0,0,0,0,0
14/7/2020,0,0,0,0,0
15/7/2020,0,0,0,0,0
16/7/2020,0,0,0,0,0
17/7/2020,0,0,0,0,0
18/7/2020,0,0,0,0,0
19/7/2020,0,0,0,1,1
20/7/2020,0,0,0,0,0
21/7/2020,0,0,0,0,0
22/7/2020,0,0,0,0,0
23/7/2020,0,0,0,0,0
24/7/2020,0,0,0,0,0
25/7/2020,0,0,0,0,0
26/7/2020,0,0,0,1,1
27/7/2020,0,0,0,0,0
28/7/2020,0,0,0,0,0
29/7/2020,0,0,0,0,0
30/7/2020,0,0,0,0,0
31/7/2020,0,0,0,1,1
1/8/2020,0,0,0,0,0
2/8/2020,0,0,0,0,0
3/8/2020,0,0,0,0,0
4/8/2020,0,0,0,0,0
5/8/2020,0,0,0,0,0
6/8/2020,0,0,0,0,0
7/8/2020,0,0,0,0,0
8/8/2020,0,0,0,0,0
9/8/2020,0,0,0,0,0
10/8/2020,0,0,0,0,0
11/8/2020,0,0,0,0,0
12/8/2020,0,0,0,0,0
13/8/2020,0,0,0,0,0
14/8/2020,0,0,0,0,0
15/8/2020,0,0,0,0,0
16/8/2020,0,0,0,0,0
17/8/2020,0,0,0,0,0
18/8/2020,0,0,0,0,0
19/8/2020,0,0,0,0,0
20/8/2020,0,0,0,0,0
21/8/2020,0,0,0,0,0
22/8/2020,0,0,0,0,0
23/8/2020,0,0,0,0,0
24/8/2020,0,0,0,0,0
25/8/2020,0,0,0,0,0
26/8/2020,0,0,0,0,0
27/8/2020,0,0,0,0,0
28/8/2020,0,0,0,0,0
29/8/2020,0,0,0,0,0
30/8/2020,0,0,0,1,1
31/8/2020,0,0,0,1,1
1/9/2020,0,0,0,1,1
2/9/2020,0,0,0,0,0
3/9/2020,0,0,0,0,0
4/9/2020,0,0,0,0,0
5/9/2020,0,0,0,0,0
6/9/2020,0,0,0,0,0
7/9/2020,0,0,0,0,0
8/9/2020,0,0,0,0,0
9/9/2020,0,0,0,0,0
10/9/2020,0,0,0,0,0
11/9/2020,0,0,0,0,0
12/9/2020,0,0,0,0,0
13/9/2020,0,0,0,0,0
14/9/2020,0,0,0,0,0
15/9/2020,0,0,0,0,0
16/9/2020,0,0,0,0,0
17/9/2020,0,0,0,0,0
18/9/2020,0,0,1,0,1
19/9/2020,0,0,0,1,1
20/9/2020,0,0,0,0,0
21/9/2020,0,0,0,0,0
22/9/2020,0,0,0,0,0
23/9/2020,0,0,2,1,3
24/9/2020,0,0,0,0,0
25/9/2020,0,0,0,0,0
26/9/2020,0,0,0,0,0
27/9/2020,0,0,0,1,1
28/9/2020,0,0,0,0,0
29/9/2020,0,0,0,0,0
30/9/2020,0,0,1,1,2
1/10/2020,0,0,0,0,0
2/10/2020,0,0,0,0,0
3/10/2020,0,0,1,0,1
4/10/2020,0,0,0,0,0
5/10/2020,0,0,0,0,0
6/10/2020,1,0,0,3,4
7/10/2020,0,0,0,0,0
8/10/2020,0,0,3,2,5
9/10/2020,0,0,3,3,6
10/10/2020,0,0,0,3,3
11/10/2020,0,0,0,2,2
12/10/2020,0,0,1,1,2
13/10/2020,0,0,2,2,4
14/10/2020,0,0,0,4,4
15/10/2020,0,0,1,2,3
16/10/2020,0,0,2,4,6
17/10/2020,0,0,1,3,4
18/10/2020,0,0,5,2,7
19/10/2020,0,0,1,2,3
20/10/2020,0,0,1,2,3
21/10/2020,0,0,3,3,6
22/10/2020,0,0,0,5,5
23/10/2020,0,0,3,7,10
24/10/2020,0,0,1,6,7
25/10/2020,0,0,3,5,8
26/10/2020,0,0,3,4,7
27/10/2020,0,0,1,1,2
28/10/2020,0,0,2,6,8
29/10/2020,0,0,0,0,0
30/10/2020,0,0,1,2,3
31/10/2020,0,0,0,0,0
1/11/2020,0,0,0,0,0
2/11/2020,0,0,0,2,2
3/11/2020,0,1,5,6,12
4/11/2020,0,0,1,7,8
5/11/2020,0,0,1,5,6
6/11/2020,0,0,1,1,2
7/11/2020,0,0,2,1,3
8/11/2020,0,0,0,4,4
9/11/2020,1,0,3,4,8
10/11/2020,0,0,2,4,6
11/11/2020,0,0,1,1,2
12/11/2020,0,0,0,1,1
13/11/2020,0,0,0,1,1
14/11/2020,0,0,1,1,2
15/11/2020,0,1,0,2,3
16/11/2020,0,0,3,1,4
17/11/2020,0,1,1,3,5
18/11/2020,0,0,1,3,4
19/11/2020,0,1,2,1,4
20/11/2020,0,0,2,1,3
21/11/2020,0,0,1,2,3
22/11/2020,0,0,0,3,3
23/11/2020,0,0,1,1,2
24/11/2020,0,0,2,2,4
25/11/2020,0,0,1,3,4
26/11/2020,0,0,1,2,3
27/11/2020,0,0,1,1,2
28/11/2020,1,0,0,3,4
29/11/2020,0,0,1,2,3
30/11/2020,0,0,2,1,3
1/12/2020,0,0,2,1,3
2/12/2020,0,0,0,2,2
3/12/2020,0,0,1,10,11
4/12/2020,0,0,0,0,0
5/12/2020,0,0,1,3,4
6/12/2020,0,0,0,2,2
7/12/2020,0,0,1,1,2
8/12/2020,0,0,1,3,4
9/12/2020,0,0,0,5,5
10/12/2020,0,0,1,2,3
11/12/2020,0,0,0,6,6
12/12/2020,0,0,5,4,9
13/12/2020,0,0,2,2,4
14/12/2020,0,0,4,0,4
15/12/2020,0,0,1,2,3
16/12/2020,0,0,4,3,7
17/12/2020,0,0,2,1,3
18/12/2020,0,0,0,0,0
19/12/2020,0,0,0,1,1
20/12/2020,0,0,0,4,4
21/12/2020,0,0,1,0,1
22/12/2020,0,0,0,1,1
23/12/2020,0,0,2,3,5
24/12/2020,0,1,0,1,2
25/12/2020,0,0,0,3,3
26/12/2020,0,0,1,1,2
27/12/2020,0,0,0,1,1
28/12/2020,0,0,2,1,3
29/12/2020,0,0,0,2,2
30/12/2020,0,0,4,2,6
31/12/2020,0,0,2,6,8
1/1/2021,0,0,1,2,3
2/1/2021,0,0,1,8,9
3/1/2021,0,0,3,8,11
4/1/2021,0,0,2,5,7
5/1/2021,0,0,2,6,8
6/1/2021,0,0,1,3,4
7/1/2021,0,0,3,5,8
8/1/2021,0,0,6,10,16
9/1/2021,0,0,0,5,5
10/1/2021,0,0,3,6,9
11/1/2021,0,0,4,0,4
12/1/2021,0,0,1,3,4
13/1/2021,0,1,0,3,4
14/1/2021,0,0,4,11,15
15/1/2021,0,0,1,7,8
